Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Tree Identification from Images - I.;Šulc, Milan;;diplomová / bakalářská práce;Katedra;;;;;54;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Tool for Decision Support in Production Planning and Schedulling - II.;Mathia, Peter;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Tool for Decision Support in Production Planning and Schedulling - I.;Mathia, Peter;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Tool for Comparison of Files of PLC Programming and Configuration Software Packages - I.;Nedvěd, Miroslav;;diplomová / bakalářská práce;Katedra;;;;;45;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Systém pro monitoring metabolického obratu v intenzivní péči - II.;Koretz, Martin;;diplomová / bakalářská práce;Katedra;;;;;52;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Systém pro monitoring metabolického obratu v intenzivní péči - I.;Koretz, Martin;;diplomová / bakalářská práce;Katedra;;;;;52;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Synchronní distribuovaný sledovací systém - II.;Bařtipán, Adam;;diplomová / bakalářská práce;Katedra;;;;;67;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Synchronní distribuovaný sledovací systém - I.;Bařtipán, Adam;;diplomová / bakalářská práce;Katedra;;;;;67;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Spektrální analýza Korotkovových zvuků - II.;Michálek, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Spektrální analýza Korotkovových zvuků - I.;Michálek, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Softwarové rozhraní k vzdálenému ovládání elektromagnetického spektrálního analyzátoru IZ225 - II.;Kůrka, Vojtěch;;diplomová / bakalářská práce;Katedra;;;;;34;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Softwarové rozhraní k vzdálenému ovládání elektromagnetického spektrálního analyzátoru IZ225 - I.;Kůrka, Vojtěch;;diplomová / bakalářská práce;Katedra;;;;;34;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Social Network Observation Tool - II.;Kvasnica, Jakub;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Social Network Observation Tool - I.;Kvasnica, Jakub;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Single-Track Mobile Robot Control - I.;Hauser, Jan;;diplomová / bakalářská práce;Katedra;;;;;63;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Simulation and Control of Airplanes at Airport Area - II.;Hnídek, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Simulation and Control of Airplanes at Airport Area - I.;Hnídek, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Sampling Strategies in Optimal Motion Planning for Inspection Missions with Car-like Vehicles - II.;Kafka, Přemysl;;diplomová / bakalářská práce;Katedra;;;;;80;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Sampling Strategies in Optimal Motion Planning for Inspection Missions with Car-like Vehicles - I.;Kafka, Přemysl;;diplomová / bakalářská práce;Katedra;;;;;80;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Safe Adaptive Traversability Learning for Mobile Robots - II.;Nouza, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;73;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Safe Adaptive Traversability Learning for Mobile Robots - I.;Nouza, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;73;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Rozšíření iterativního párového algoritmu pro řešení kolizí - II.;Vrbský, Ladislav;;diplomová / bakalářská práce;Katedra;;;;;34;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Rozšíření iterativního párového algoritmu pro řešení kolizí - I.;Vrbský, Ladislav;;diplomová / bakalářská práce;Katedra;;;;;34;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Rehabilitace jemné motoriky rukou - II.;Kufnerová, Alena;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Rehabilitace jemné motoriky rukou - I.;Kufnerová, Alena;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Registration of 3D Point Clouds - II.;Bedroš, Roman;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Registration of 3D Point Clouds - I.;Bedroš, Roman;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Reduction of False Positives in Lung Nodule Detection Algorithm - II.;Latnerová, Iva;;diplomová / bakalářská práce;Katedra;;;;;74;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Reduction of False Positives in Lung Nodule Detection Algorithm - I.;Latnerová, Iva;;diplomová / bakalářská práce;Katedra;;;;;74;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
RGBD Kinect Camera Calibration - II.;Cvrček, Vojtěch;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
RGBD Kinect Camera Calibration - I.;Cvrček, Vojtěch;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Probablistic Approach to Landmark Management in Visual Odometry - II.;Potoček, Pavel;;diplomová / bakalářská práce;Katedra;;;;;54;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Probablistic Approach to Landmark Management in Visual Odometry - I.;Potoček, Pavel;;diplomová / bakalářská práce;Katedra;;;;;54;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Porovnání nastavení biventrikulární stimulace pomocí impedanční kardiografie se standardní nemocniční metodikou - II.;Štěrba, Jan;;diplomová / bakalářská práce;Katedra;;;;;71;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Porovnání nastavení biventrikulární stimulace pomocí impedanční kardiografie se standardní nemocniční metodikou - I.;Štěrba, Jan;;diplomová / bakalářská práce;Katedra;;;;;71;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Playing General Imperfect-Information Games Using Game-Theoretic Algorithms - I.;Černý, Jakub;;diplomová / bakalářská práce;Katedra;;;;;75;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Parametrizace a segmentace epileptiformních výbojů v záznamech intrakraniálního elektroencefalografu - II.;Vlk, Pavel;;diplomová / bakalářská práce;Katedra;;;;;70;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Parametrizace a segmentace epileptiformních výbojů v záznamech intrakraniálního elektroencefalografu - I.;Vlk, Pavel;;diplomová / bakalářská práce;Katedra;;;;;70;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Parallelization of an Algorithm for Solving Imperfect Information Games - I.;Svatoš, Martin;;diplomová / bakalářská práce;Katedra;;;;;43;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Paralelizace GRASP heuristiky na GPU - I.;Lukeš, Jakub;;diplomová / bakalářská práce;Katedra;;;;;59;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
PHP modul pro práci s PDF formuláři a podepisování PDF - II.;Kubát, Jan;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
PHP modul pro práci s PDF formuláři a podepisování PDF - I.;Kubát, Jan;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Optimalizace tvaru roje bezpilotních helikoptér - I.;Třešňák, Adam;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
On Parametric Model Creation with Neural Modeling Fields - I.;Šulc, Antonín;;diplomová / bakalářská práce;Katedra;;;;;96;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Návrh řídící jednotky pro měření biologických signálů s vysokou hustotou dat - II.;Langer, Václav;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Návrh řídící jednotky pro měření biologických signálů s vysokou hustotou dat - I.;Langer, Václav;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Návrh virtuálního průvodce - avatara pro podporu léčby chronických nemocí - II.;Hrstka, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Návrh virtuálního průvodce - avatara pro podporu léčby chronických nemocí - I.;Hrstka, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Navigační systém mobilního robotu ve venkovním prostředí - I.;Stejskal, Martin;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Navigace mobilního robotu ve venkovním prostředí - II.;Heinrich, Adam;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Navigace mobilního robotu ve venkovním prostředí - I.;Heinrich, Adam;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Nanokompozity na bázi nanokrystalického diamantu a anorganických nanočástic pro biomedicínské aplikace - II.;Caha, Jiří;;diplomová / bakalářská práce;Katedra;;;;;84;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Nanokompozity na bázi nanokrystalického diamantu a anorganických nanočástic pro biomedicínské aplikace - I.;Caha, Jiří;;diplomová / bakalářská práce;Katedra;;;;;84;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Měřící kamera založená na Raspberry Pi - II.;Kavková, Michaela;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Měřící kamera založená na Raspberry Pi - I.;Kavková, Michaela;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Multi-Vehicle Random Finite Set SLAM - II.;Petrík, Vladimír;;diplomová / bakalářská práce;Katedra;;;;;52;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Multi-Vehicle Random Finite Set SLAM - I.;Petrík, Vladimír;;diplomová / bakalářská práce;Katedra;;;;;52;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Motion Model of Stair Climbing in Hexapod Walking Robot - II.;Masri, Diar;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Motion Model of Stair Climbing in Hexapod Walking Robot - I.;Masri, Diar;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Monitorování kvality spánku pomocí analýzy audio záznamu - II.;Slezák, David;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Monitorování kvality spánku pomocí analýzy audio záznamu - I.;Slezák, David;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Modelování látky v pohybu - II.;Pecha, Petr;;diplomová / bakalářská práce;Katedra;;;;;26;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Modelování látky v pohybu - I.;Pecha, Petr;;diplomová / bakalářská práce;Katedra;;;;;26;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;Smutný, Vladimír;10.09.2014 - 10.03.2015;;;;;;
Mobile Application for Recognition of Japanese Writing System - I.;Zdeněk, Jan;;diplomová / bakalářská práce;Katedra;;;;;59;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Metoda evaluace intersticiálního aplikátoru pro radiofrekvenční termoablaci nádoru jater - II.;Znojilová, Lucie;;diplomová / bakalářská práce;Katedra;;;;;59;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Metoda evaluace intersticiálního aplikátoru pro radiofrekvenční termoablaci nádoru jater - I.;Znojilová, Lucie;;diplomová / bakalářská práce;Katedra;;;;;59;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Metaheuristic Optimization of Charging/Discharging Schedules for Electric Vehicles - I.;Körner, Petr;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Luminiscence nanodiamantových částic řízená povrchovou terminací: nové detekční principy - II.;Dedek, Štěpán;;diplomová / bakalářská práce;Katedra;;;;;61;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Luminiscence nanodiamantových částic řízená povrchovou terminací: nové detekční principy - I.;Dedek, Štěpán;;diplomová / bakalářská práce;Katedra;;;;;61;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Local Planning for a Mobile Robot - II.;Kozák, Viktor;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Local Planning for a Mobile Robot - I.;Kozák, Viktor;;diplomová / bakalářská práce;Katedra;;;;;48;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Learning to Rank Algorithms - I.;Modrý, Marek;;diplomová / bakalářská práce;Katedra;;;;;82;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Large Scale Object Detection II;Novotný, David;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Large Scale Object Detection I;Novotný, David;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Korekce pohybů hlavy při vyšetření sledování očních pohybů - II.;Erlebach, Jonáš;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Korekce pohybů hlavy při vyšetření sledování očních pohybů - I.;Erlebach, Jonáš;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Knihovna pro ukládání, vyhledávání a porovnání pohybů lidského těla - II.;Tesař, Jan;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Knihovna pro ukládání, vyhledávání a porovnání pohybů lidského těla - I.;Tesař, Jan;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Klasifikace douhodobých EEG záznamů II;Vošmík Jiří;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Klasifikace douhodobých EEG záznamů I;Vošmík Jiří;;diplomová / bakalářská práce;Katedra;;;;;50;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Klasifikace EEG s využitím metod inkrementálního učení - II.;Husák, Petr;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Klasifikace EEG s využitím metod inkrementálního učení - I.;Husák, Petr;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Kalibrační metody pro videookulografii - II.;Prštický, Michal;;diplomová / bakalářská práce;Katedra;;;;;51;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Kalibrační metody pro videookulografii - I.;Prštický, Michal;;diplomová / bakalářská práce;Katedra;;;;;51;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Kalibrace lokalizačního vizuálního systému - II.;Moravčík, Václav;;diplomová / bakalářská práce;Katedra;;;;;40;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Kalibrace lokalizačního vizuálního systému - I.;Moravčík, Václav;;diplomová / bakalářská práce;Katedra;;;;;40;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Intelligent Algorithms for Monitoring of Environment Around Oil Pipe Systems Using Unmanned Aerial Systems - I.;Ondráček, Jakub;;diplomová / bakalářská práce;Katedra;;;;;62;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Informační systém pro vícezdrojové financování - II.;Chamra, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;36;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Informační systém pro vícezdrojové financování - I.;Chamra, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;36;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Increasing Coverage of Reactive Techniques for Collision Avoidance - II.;Janovský, Pavel;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Increasing Coverage of Reactive Techniques for Collision Avoidance - I.;Janovský, Pavel;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Implementace fonémového rozpoznávače s nástroji TNet Toolkitu - II.;Fiala, Jiří;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Implementace fonémového rozpoznávače s nástroji TNet Toolkitu - I.;Fiala, Jiří;;diplomová / bakalářská práce;Katedra;;;;;44;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Implememtace rozpoznávače řeči na bázi TANDEM architektury - II.;Brich, Aleš;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Implememtace rozpoznávače řeči na bázi TANDEM architektury - I.;Brich, Aleš;;diplomová / bakalářská práce;Katedra;;;;;55;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Identifikace a řízení dynamických systémů založené na modelech - II.;Těžký, Jiří;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Identifikace a řízení dynamických systémů založené na modelech - I.;Těžký, Jiří;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Hierarchical Approach to Motion Planning of Formations of Unmanned Helicopters in Complex Environment - II.;Rak, Filip;;diplomová / bakalářská práce;Katedra;;;;;31;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Hierarchical Approach to Motion Planning of Formations of Unmanned Helicopters in Complex Environment - I.;Rak, Filip;;diplomová / bakalářská práce;Katedra;;;;;31;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;Saska, Martin;01.08.2014 - 01.02.2015;;;;;;
Heart Beat Rate Estimation from Facial Video - I.;Černý, Pavel;;diplomová / bakalářská práce;Katedra;;;;;27;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Handwriting Beautification - II.;Vančák, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;27;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Handwriting Beautification - I.;Vančák, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;27;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Gesture Recognition for Mobile Phone Unlocking - I.;Sixta, Tomáš;;diplomová / bakalářská práce;Katedra;;;;;46;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Generování hladkých trajektorií ve 3D - II.;Blaha, Martin;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Generování hladkých trajektorií ve 3D - I.;Blaha, Martin;;diplomová / bakalářská práce;Katedra;;;;;41;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Fotoaparát s historickou pamětí - II.;Kopřiva, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Fotoaparát s historickou pamětí - I.;Kopřiva, Ondřej;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Font Family/Style Recognition - I.;Soukupová, Tereza;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Flexible User Interface for Ontology Applications - I.;Dundálek, Jakub;;diplomová / bakalářská práce;Katedra;;;;;51;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Finite-State Machine State Identification Sequences - I.;Soucha, Michal;;diplomová / bakalářská práce;Katedra;;;;;49;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Extraction of Features from Moving Garment - II.;Neoral, Michal;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Extraction of Features from Moving Garment - I.;Neoral, Michal;;diplomová / bakalářská práce;Katedra;;;;;39;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
External Vision-Based Localization System for Mobile Robots - II.;Valtr, Jiří;;diplomová / bakalářská práce;Katedra;;;;;45;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
External Vision-Based Localization System for Mobile Robots - I.;Valtr, Jiří;;diplomová / bakalářská práce;Katedra;;;;;45;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Exploration of an Uknow 3D Environment - II.;Jareš, Filip;;diplomová / bakalářská práce;Katedra;;;;;53;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Exploration of an Uknow 3D Environment - I.;Jareš, Filip;;diplomová / bakalářská práce;Katedra;;;;;53;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Exploration Strategies for Mobile Robots - II.;Krys, Jan;;diplomová / bakalářská práce;Katedra;;;;;18;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD - NEOBHÁJENO;;volná;;;;;;;
Exploration Strategies for Mobile Robots - I.;Krys, Jan;;diplomová / bakalářská práce;Katedra;;;;;18;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD - NEOBHÁJENO;;volná;;;;;;;
Evolutionary Metaheuristic for the Rostering Problem - II.;Rudolf, Michael;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Evolutionary Metaheuristic for the Rostering Problem - I.;Rudolf, Michael;;diplomová / bakalářská práce;Katedra;;;;;42;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;bez CD;;volná;;;;;;;
Evaluation of Safety and Security Properties of Automotive Motor Control Software - II.;Kreč, Michal;;diplomová / bakalářská práce;Katedra;;;;;64;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Evaluation of Safety and Security Properties of Automotive Motor Control Software - I.;Kreč, Michal;;diplomová / bakalářská práce;Katedra;;;;;64;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Environment Mapping Using Radar - II.;Burian, Martin;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Environment Mapping Using Radar - I.;Burian, Martin;;diplomová / bakalářská práce;Katedra;;;;;60;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
Embedded Computer Including Software for the Intelligent Bird Nesting Box - I.;Kubizňák, Petr;;diplomová / bakalářská práce;Katedra;;;;;86;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD (II - autor);;volná;;;;;;;
Dynamika interiktálních výbojů v nezávislých epileptických zónách - II.;Dohnalová, Ludmila;;diplomová / bakalářská práce;Katedra;;;;;54;1. vydání;2014;Czech Technical University in Prague;Praha;;;;;;;s CD;;volná;;;;;;;
