Název;Autor;Spoluautoři;Druh;Deponováno;SystemovéČíslo;EvidenřníČísloFEL;ČísloOddělení;ČárovýKód;Stran;Vydání;Rok;Vydavatel;Země;ISBNorISSN;ČísloČasopisu;RočníkČasopisu;Konference;Cena;KlíčováSlova;Poznámka;Vloženo;Zapůjčeno;ZapůjčenoOd;ZapůjčenoDo;Extra1;Extra1;Extra1;Extra1;Extra1
Adaptivní chování agentů-animátů s prvky umělého života 2.;Svoboda, Jan;;diplomová / bakalářská práce;Katedra;;;;;68;1. vydání;2005;Czech Technical University in Prague;ČR;;;2005;;;;vč. CD;;Nahodil, Pavel;;;;;;;
Adaptivní chování agentů-animátů s prvky umělého života 1.;Svoboda, Jan;;diplomová / bakalářská práce;Katedra;;;;;68;1. vydání;2005;Czech Technical University in Prague;ČR;;;;;;;vč. CD;;volná;;;;;;;
Vlastnosti panoramatické optiky II.;Dědič, Tomáš;;diplomová / bakalářská práce;CMP;;;CMP-;;53;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Vlastnosti panoramatické optiky I.;Dědič, Tomáš;;diplomová / bakalářská práce;CMP;980186;;CMP-;980186-10;53;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Počítačová podpora diagnostiky štítné žlázy II.;Holinka, Štěpán;;diplomová / bakalářská práce;CMP;;;CMP-;;53;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Počítačová podpora diagnostiky štítné žlázy I.;Holinka, Štěpán;;diplomová / bakalářská práce;CMP;980240;;CMP-;980240-10;53;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Implementace algoritmu pro 3D sledování v reálném čase - II.;Varga, Ctibor;;diplomová / bakalářská práce;CMP;;;CMP-;;26;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Implementace algoritmu pro 3D sledování v reálném čase - I.;Varga, Ctibor;;diplomová / bakalářská práce;CMP;667958;;CMP-;667958-10;26;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Filtrace šumu ve scintigrafických snímcích metodou založenou na Correspondence Anlysis II.;Němeček, Petr;;diplomová / bakalářská práce;CMP;;;CMP-;;47;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Filtrace šumu ve scintigrafických snímcích metodou založenou na Correspondence Anlysis I.;Němeček, Petr;;diplomová / bakalářská práce;CMP;980244;;CMP-;980244-10;47;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
2D Model-Based Tracking of Humans in a Single View Sequence II.;Korč, Filip;;diplomová / bakalářská práce;CMP;;;CMP-;;46;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
2D Model-Based Tracking of Humans in a Single View Sequence I.;Korč, Filip;;diplomová / bakalářská práce;CMP;980160;;CMP-;980160-10;46;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Řešení problému fyzického obchodního cestujícího pomocí evolučních algoritmů - II.;Prikner, R.;;diplomová / bakalářská práce;Katedra;;;;;47;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
Řešení problému fyzického obchodního cestujícího pomocí evolučních algoritmů - I.;Prikner, Rostislav;;diplomová / bakalářská práce;Katedra;668195;;;668195-10;46;1. vydání;2006;ČVUT Praha - FEL;ČR;;;;;;;;;volná;;;;;;;
